id,username,date,text,hashtags,geo,type
903345883609169921,TxDOTHouston,2017-08-31 19:56:56+00:00,Turtle found refuge by entering the nearby water thanks to our crew members.,,,official
903345706018197504,TxDOTHouston,2017-08-31 19:56:14+00:00,Not a state road.,,,official
903342514140217346,TxDOTHouston,2017-08-31 19:43:33+00:00,All IH 69/ US 59 bridges over the Brazos in Fort Bend are fine. No plans to close NB/SB mainlanes or frontage. @fbcoem.pic.twitter.com/yTZXGizxVf,,,official
903340289095585792,TxDOTHouston,2017-08-31 19:34:42+00:00,Of course.,,,official
903334399692996609,TxDOTHouston,2017-08-31 19:11:18+00:00,Houston District Engineer Quincy Allen speaks to @DugBegley with @HoustonChron about roadway updates following #Harvey.pic.twitter.com/NJCI8XMhzX,#Harvey,,official
903333750439903232,TxDOTHouston,2017-08-31 19:08:43+00:00,Sorry we are just following up with you. This was not accurate.,,,official
903331516268326912,TxDOTHouston,2017-08-31 18:59:51+00:00,US 59/ IH 69 Eastex NB at the San Jacinto River all frontage road lanes now open. Mainlanes remain closed. SB mainlanes/ frontage closed.pic.twitter.com/fHKGH8L4xD,,,official
903321784191242240,TxDOTHouston,2017-08-31 18:21:10+00:00,Keep going to http://drivetexas.org to http://www.houstontranstar.org for updates.,,,official
903321627022286848,TxDOTHouston,2017-08-31 18:20:33+00:00,"NO truth to rumor that IH 10 WB heading toward San Antonio will be overcome by high water. Follow us, @TxDOTYoakum and @TxDOTSanAntonio.",,,official
903302735256268800,TxDOTHouston,2017-08-31 17:05:29+00:00,Crews have begun resetting concrete barrier along IH 69 Eastex at the San Jacinto River. The hope is to get it open this evening.pic.twitter.com/O15amerB0F,,,official
903276082098556928,TxDOTHouston,2017-08-31 15:19:34+00:00,We are working on it. It will take time. Could be as early as today. Go to http://drivetexas.org for updates.,,,official
903272929856819201,TxDOTHouston,2017-08-31 15:07:03+00:00,Thanks for reaching out to us about the sign on IH 45 at Cypresswood. We have addressed the concern.,,,official
903267931882221573,TxDOTHouston,2017-08-31 14:47:11+00:00,. @MichelleMerhar Welcome back. A terrible event can bring great things.https://twitter.com/ChrisdyannUribe/status/903266054490730497 …,,,official
903263494174330880,TxDOTHouston,2017-08-31 14:29:33+00:00,TxDOT and @HCTRA working together to ease the burden on the traveling public as roads recover from #Harvey. #teamworkpic.twitter.com/e7F3l42ubV,#Harvey #teamworkpic,,official
903238881516146688,TxDOTHouston,2017-08-31 12:51:45+00:00,This is handled by @hcfcd. We handle state roads.,,,official
903236654466572289,TxDOTHouston,2017-08-31 12:42:54+00:00,#Safety1st! THANKS to @TxDOT crews traveling in from around the state to support HOU operations. #OneTxDOT #Harveypic.twitter.com/XIiWHXXZKE,#Safety1st #OneTxDOT #Harveypic,,official
903224723710107649,TxDOTHouston,2017-08-31 11:55:29+00:00,Take it from the source. Thank for always setting things straight @JeffLindner1.https://twitter.com/JeffLindner1/status/903219646861631492 …,,,official
903209237303656448,TxDOTHouston,2017-08-31 10:53:57+00:00,Tolls are waived until further notice.,,,official
903207879511040000,TxDOTHouston,2017-08-31 10:48:33+00:00,Check http://www.drivetexas.org and http://www.houstontranstar.org for updates.,,,official
